Cod_Regiao;Regiao;Cod_Estado;UF;Cod_Municipio;Municipio
1;Norte;11;Rondônia;1100015;Alta Floresta D'Oeste
1;Norte;11;Rondônia;1100379;Alto Alegre dos Parecis
1;Norte;11;Rondônia;1100403;Alto Paraíso
1;Norte;11;Rondônia;1100346;Alvorada D'Oeste
1;Norte;11;Rondônia;1100023;Ariquemes
1;Norte;11;Rondônia;1100452;Buritis
1;Norte;11;Rondônia;1100031;Cabixi
1;Norte;11;Rondônia;1100601;Cacaulândia
1;Norte;11;Rondônia;1100049;Cacoal
1;Norte;11;Rondônia;1100700;Campo Novo de Rondônia
1;Norte;11;Rondônia;1100809;Candeias do Jamari
1;Norte;11;Rondônia;1100908;Castanheiras
1;Norte;11;Rondônia;1100056;Cerejeiras
1;Norte;11;Rondônia;1100924;Chupinguaia
1;Norte;11;Rondônia;1100064;Colorado do Oeste
1;Norte;11;Rondônia;1100072;Corumbiara
1;Norte;11;Rondônia;1100080;Costa Marques
1;Norte;11;Rondônia;1100940;Cujubim
1;Norte;11;Rondônia;1100098;Espigão D'Oeste
1;Norte;11;Rondônia;1101005;Governador Jorge Teixeira
1;Norte;11;Rondônia;1100106;Guajará-Mirim
1;Norte;11;Rondônia;1101104;Itapuã do Oeste
1;Norte;11;Rondônia;1100114;Jaru
1;Norte;11;Rondônia;1100122;Ji-Paraná
1;Norte;11;Rondônia;1100130;Machadinho D'Oeste
1;Norte;11;Rondônia;1101203;Ministro Andreazza
1;Norte;11;Rondônia;1101302;Mirante da Serra
1;Norte;11;Rondônia;1101401;Monte Negro
1;Norte;11;Rondônia;1100148;Nova Brasilândia D'Oeste
1;Norte;11;Rondônia;1100338;Nova Mamoré
1;Norte;11;Rondônia;1101435;Nova União
1;Norte;11;Rondônia;1100502;Novo Horizonte do Oeste
1;Norte;11;Rondônia;1100155;Ouro Preto do Oeste
1;Norte;11;Rondônia;1101450;Parecis
1;Norte;11;Rondônia;1100189;Pimenta Bueno
1;Norte;11;Rondônia;1101468;Pimenteiras do Oeste
1;Norte;11;Rondônia;1100205;Porto Velho
1;Norte;11;Rondônia;1100254;Presidente Médici
1;Norte;11;Rondônia;1101476;Primavera de Rondônia
1;Norte;11;Rondônia;1100262;Rio Crespo
1;Norte;11;Rondônia;1100288;Rolim de Moura
1;Norte;11;Rondônia;1100296;Santa Luzia D'Oeste
1;Norte;11;Rondônia;1101484;São Felipe D'Oeste
1;Norte;11;Rondônia;1101492;São Francisco do Guaporé
1;Norte;11;Rondônia;1100320;São Miguel do Guaporé
1;Norte;11;Rondônia;1101500;Seringueiras
1;Norte;11;Rondônia;1101559;Teixeirópolis
1;Norte;11;Rondônia;1101609;Theobroma
1;Norte;11;Rondônia;1101708;Urupá
1;Norte;11;Rondônia;1101757;Vale do Anari
1;Norte;11;Rondônia;1101807;Vale do Paraíso
1;Norte;11;Rondônia;1100304;Vilhena
1;Norte;12;Acre;1200013;Acrelândia
1;Norte;12;Acre;1200054;Assis Brasil
1;Norte;12;Acre;1200104;Brasiléia
1;Norte;12;Acre;1200138;Bujari
1;Norte;12;Acre;1200179;Capixaba
1;Norte;12;Acre;1200203;Cruzeiro do Sul
1;Norte;12;Acre;1200252;Epitaciolândia
1;Norte;12;Acre;1200302;Feijó
1;Norte;12;Acre;1200328;Jordão
1;Norte;12;Acre;1200336;Mâncio Lima
1;Norte;12;Acre;1200344;Manoel Urbano
1;Norte;12;Acre;1200351;Marechal Thaumaturgo
1;Norte;12;Acre;1200385;Plácido de Castro
1;Norte;12;Acre;1200807;Porto Acre
1;Norte;12;Acre;1200393;Porto Walter
1;Norte;12;Acre;1200401;Rio Branco
1;Norte;12;Acre;1200427;Rodrigues Alves
1;Norte;12;Acre;1200435;Santa Rosa do Purus
1;Norte;12;Acre;1200500;Sena Madureira
1;Norte;12;Acre;1200450;Senador Guiomard
1;Norte;12;Acre;1200609;Tarauacá
1;Norte;12;Acre;1200708;Xapuri
1;Norte;13;Amazonas;1300029;Alvarães
1;Norte;13;Amazonas;1300060;Amaturá
1;Norte;13;Amazonas;1300086;Anamã
1;Norte;13;Amazonas;1300102;Anori
1;Norte;13;Amazonas;1300144;Apuí
1;Norte;13;Amazonas;1300201;Atalaia do Norte
1;Norte;13;Amazonas;1300300;Autazes
1;Norte;13;Amazonas;1300409;Barcelos
1;Norte;13;Amazonas;1300508;Barreirinha
1;Norte;13;Amazonas;1300607;Benjamin Constant
1;Norte;13;Amazonas;1300631;Beruri
1;Norte;13;Amazonas;1300680;Boa Vista do Ramos
1;Norte;13;Amazonas;1300706;Boca do Acre
1;Norte;13;Amazonas;1300805;Borba
1;Norte;13;Amazonas;1300839;Caapiranga
1;Norte;13;Amazonas;1300904;Canutama
